10,0
20,0
30,0
40,0
50,0
60,-2
70,-2
80,-2
90,-2
100,-2
200,-5
300,-7
400,-10
500,-14
600,-16
700,-17
800,-19
900,-21
1000,-24
2000,-46
3000,-65
4000,-83
5000,-97
6000,-112
7000,-122
8000,-132
9000,-142
10000,-150
20000,-196
30000,-225
40000,-250
50000,-270
60000,-270
70000,-270
80000,-270
90000,-270
100000,-270
200000,-270
300000,-270
400000,-270
500000,-270
600000,-270
700000,-270
800000,-270
900000,-270
