,CH1
Second,Volt
6.60000e-04,3.80e-01, 
6.64000e-04,1.00e-01, 
6.68000e-04,-4.00e-02, 
6.72000e-04,2.20e-01, 
6.76000e-04,-1.20e-01, 
6.80000e-04,1.40e-01, 
6.84000e-04,-6.00e-02, 
6.88000e-04,-2.00e-02, 
6.92000e-04,2.20e-01, 
6.96000e-04,-8.00e-02, 
7.00000e-04,2.80e-01, 
7.04000e-04,6.00e-02, 
7.08000e-04,-1.20e-01, 
7.12000e-04,5.20e-01, 
7.16000e-04,-1.40e-01, 
7.20000e-04,7.00e-01, 
7.24000e-04,-2.60e-01, 
7.28000e-04,-1.80e-01, 
7.32000e-04,1.00e+00, 
7.36000e-04,-2.60e-01, 
7.40000e-04,1.28e+00, 
7.44000e-04,-4.40e-01, 
7.48000e-04,1.08e+00, 
7.52000e-04,1.50e+00, 
7.56000e-04,-4.40e-01, 
7.60000e-04,1.82e+00, 
7.64000e-04,-5.20e-01, 
7.68000e-04,-3.00e-01, 
7.72000e-04,1.84e+00, 
7.76000e-04,-5.80e-01, 
7.80000e-04,1.96e+00, 
7.84000e-04,-5.20e-01, 
7.88000e-04,1.56e+00, 
7.92000e-04,1.88e+00, 
7.96000e-04,-5.60e-01, 
8.00000e-04,1.80e+00, 
8.04000e-04,-5.20e-01, 
8.08000e-04,-3.00e-01, 
8.12000e-04,1.62e+00, 
8.16000e-04,-4.60e-01, 
8.20000e-04,1.34e+00, 
8.24000e-04,7.60e-01, 
8.28000e-04,-4.40e-01, 
8.32000e-04,1.06e+00, 
8.36000e-04,-2.60e-01, 
8.40000e-04,7.80e-01, 
8.44000e-04,-2.80e-01, 
8.48000e-04,-1.20e-01, 
8.52000e-04,4.60e-01, 
8.56000e-04,-1.60e-01, 
8.60000e-04,3.80e-01, 
8.64000e-04,6.00e-02, 
8.68000e-04,-6.00e-02, 
8.72000e-04,1.60e-01, 
8.76000e-04,-1.20e-01, 
8.80000e-04,-2.00e-02, 
8.84000e-04,1.40e-01, 
8.88000e-04,-4.00e-02, 
8.92000e-04,2.40e-01, 
8.96000e-04,-8.00e-02, 
9.00000e-04,2.80e-01, 
9.04000e-04,6.00e-02, 
9.08000e-04,-1.20e-01, 
9.12000e-04,4.40e-01, 
9.16000e-04,-2.00e-01, 
9.20000e-04,7.20e-01, 
9.24000e-04,-1.80e-01, 
9.28000e-04,1.14e+00, 
9.32000e-04,-1.20e-01, 
9.36000e-04,-3.00e-01, 
