10,"1,02"
20,"1,02"
30,"1,02"
40,"1,02"
50,"1,02"
60,"1,02"
70,"1,02"
80,"1,02"
90,"1,02"
100,"1,02"
200,"1,02"
300,"1,02"
400,"1,02"
500,1
600,1
700,1
800,1
900,1
1000,1
2000,"0,98"
3000,"0,92"
4000,"0,86"
5000,"0,8"
6000,"0,74"
7000,"0,68"
8000,"0,64"
9000,"0,6"
10000,"0,56"
20000,"0,32"
30000,"0,22"
40000,"0,16"
50000,"0,128"
60000,"0,104"
70000,"0,09"
80000,"0,08"
90000,"0,07"
100000,"0,062"
200000,"0,0312"
300000,"0,0216"
400000,"0,0112"
500000,"0,0088"
600000,"0,0056"
700000,"0,0048"
800000,"0,0024"
900000,0
